fulcrum_id,fulcrum_parent_id,fulcrum_record_id,version,caption,latitude,longitude,geometry,file_size,uploaded_at,exif_date_time,exif_gps_altitude,exif_gps_date_stamp,exif_gps_time_stamp,exif_gps_dop,exif_gps_img_direction,exif_gps_img_direction_ref,exif_gps_latitude,exif_gps_latitude_ref,exif_gps_longitude,exif_gps_longitude_ref,exif_make,exif_model,exif_orientation,exif_pixel_x_dimension,exif_pixel_y_dimension,exif_software,exif_x_resolution,exif_y_resolution
01327891-2e83-441c-8148-d7ffa6af8c3b,0eecc3c6-91c2-477d-8f79-99d5b43bca92,0eecc3c6-91c2-477d-8f79-99d5b43bca92,1,,42.05648308333333,-87.6737578888889,POINT (-87.6737578888889 42.05648308333333),517748,2019-09-05 19:40:56 UTC,2019-09-05 12:34:19 UTC,162.5,2019-09-05,17:34:12,12.9,,,42.05648308333333,N,-87.6737578888889,W,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
c2b3edb2-3eb6-46ad-90ff-aad1d2fd9cca,85c97798-ef5f-45f3-8955-819e6dec4743,85c97798-ef5f-45f3-8955-819e6dec4743,1,,42.05648308333333,-87.67375777777778,POINT (-87.67375777777778 42.05648308333333),566481,2019-09-05 19:41:01 UTC,2019-09-05 12:59:15 UTC,162.7,2019-09-05,17:59:14,16.85899925317401,,,42.05648308333333,N,-87.67375777777778,W,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
73913d83-89e6-4988-b6e6-284512b30e09,a9e498a9-e113-4367-98ee-4662d445eb6c,a9e498a9-e113-4367-98ee-4662d445eb6c,1,,42.0564748,-87.673753,POINT (-87.673753 42.0564748),518255,2019-09-05 19:41:04 UTC,2019-09-05 13:03:09 UTC,162.5,2019-09-05,18:03:09,13.822999947053528,,,42.0564748,N,-87.673753,W,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
f4ff0e1c-dae8-4270-9329-41ad4701865d,221e4cff-82c1-48f9-a8aa-043e80e57ccf,221e4cff-82c1-48f9-a8aa-043e80e57ccf,1,,42.05649038888889,-87.67375808333334,POINT (-87.67375808333334 42.05649038888889),558812,2019-09-05 19:41:05 UTC,2019-09-05 13:06:57 UTC,162.5,2019-09-05,18:06:52,14.046999925278339,,,42.05649038888889,N,-87.67375808333334,W,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
18fb4676-209c-49da-94e6-45451da97607,17f4733f-e577-4834-a3a4-109c0c4cc232,17f4733f-e577-4834-a3a4-109c0c4cc232,1,,42.056483,-87.67375808333334,POINT (-87.67375808333334 42.056483),509133,2019-09-05 19:41:07 UTC,2019-09-05 13:10:46 UTC,162.7,2019-09-05,18:10:31,14.21300029501426,,,42.056483,N,-87.67375808333334,W,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
704eaa3a-8c53-44a8-8093-e5df858aaeda,efa985e5-4df3-4731-b0f7-481c98bcb43c,efa985e5-4df3-4731-b0f7-481c98bcb43c,1,,42.05648258333333,-87.67375808333334,POINT (-87.67375808333334 42.05648258333333),511898,2019-09-05 19:41:09 UTC,2019-09-05 13:19:45 UTC,162.7,2019-09-05,18:19:44,14.165,,,42.05648258333333,N,-87.67375808333334,W,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
5b7d0da2-d269-4f64-bcf9-763989ef757c,b7ee7f3a-19ac-4be2-82ef-530869d1e593,b7ee7f3a-19ac-4be2-82ef-530869d1e593,1,,42.05648327777777,-87.67375927777778,POINT (-87.67375927777778 42.05648327777777),465342,2019-09-05 19:41:13 UTC,2019-09-05 13:37:45 UTC,162.7,2019-09-05,18:37:36,14.172,,,42.05648327777777,N,-87.67375927777778,W,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
da71c072-1828-46e5-a1d2-7db1ff11e7ac,d6c8267b-d578-441a-9c43-2df78c0383f3,d6c8267b-d578-441a-9c43-2df78c0383f3,1,,42.056483,-87.67376897222222,POINT (-87.67376897222222 42.056483),487084,2019-09-05 19:41:16 UTC,2019-09-05 13:41:02 UTC,162.7,2019-09-05,18:40:56,14.071999191020325,,,42.056483,N,-87.67376897222222,W,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
b1e83777-a4b4-4198-8959-996e49473af0,3671fa0a-d059-4797-b748-d1f856cba262,3671fa0a-d059-4797-b748-d1f856cba262,1,,42.056482777777774,-87.67375858333334,POINT (-87.67375858333334 42.056482777777774),466446,2019-09-05 19:41:18 UTC,2019-09-05 13:50:59 UTC,162.7,2019-09-05,18:50:44,14.173000331895121,,,42.056482777777774,N,-87.67375858333334,W,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
b9bbe551-e181-45c5-8144-0efc9720e7e8,e7abecf2-9259-4da3-840b-b695e9db7bec,e7abecf2-9259-4da3-840b-b695e9db7bec,1,,42.056483,-87.67375829999729,POINT (-87.67375829999729 42.056483),525918,2019-09-05 19:41:19 UTC,2019-09-05 13:55:39 UTC,162.7,2019-09-05,18:55:38,16.846000663790242,,,42.056483,N,-87.67375829999729,W,samsung,SAMSUNG-SM-G930A,,810,1080,"Fulcrum Android 2.33.4 (4934), Android 8.0.0, samsung, SAMSUNG-SM-G930A",72.0,72.0
